Local Governments Councils,Total Allocation
Brass,"183,414,752.41"
Ekeremor,"214,591,896.32"
Kolokuma/Opkuma,"137,467,351.60"
Nembe,"163,825,914.86"
Ogbia,"183,976,715.89"
Sagbama,"185,058,750.56"
Southern Ijaw,"259,672,873.54"
Yenagoa,"230,076,953.13"
Total,"1,558,085,208.31"
